month,plan_tier,total_mrr,paying_accounts,arpu,blended_arpu,prev_mrr,mrr_diff,mrr_growth_pct
2024-02,free,0.0,3091,0.0,0.0,,0.0,
2024-02,premium,580395.0,894,649.21,649.21,,0.0,
2024-02,standard,527369.6,1679,314.1,314.1,,0.0,
2024-03,free,0.0,6326,0.0,0.0,0.0,0.0,
2024-03,premium,1071201.0,1821,588.25,588.25,580395.0,490806.0,84.56
2024-03,standard,1100454.4,3435,320.37,320.37,527369.6,573084.8,108.67
2024-04,free,0.0,9591,0.0,0.0,0.0,0.0,
2024-04,premium,1608564.0,2707,594.22,594.22,1071201.0,537363.0,50.16
2024-04,standard,1677416.0,5180,323.83,323.83,1100454.4,576961.6,52.43
2024-05,free,0.0,12918,0.0,0.0,0.0,0.0,
2024-05,premium,2173500.0,3625,599.59,599.59,1608564.0,564936.0,35.12
2024-05,standard,2238465.6,6928,323.1,323.1,1677416.0,561049.6,33.45
2024-06,free,0.0,15986,0.0,0.0,0.0,0.0,
2024-06,premium,2711172.0,4501,602.35,602.35,2173500.0,537672.0,24.74
2024-06,standard,2790707.2,8689,321.18,321.18,2238465.6,552241.6,24.67
2024-07,free,0.0,19297,0.0,0.0,0.0,0.0,
2024-07,premium,3257436.0,5411,602.0,602.0,2711172.0,546264.0,20.15
2024-07,standard,3388081.6,10514,322.24,322.24,2790707.2,597374.4,21.41
2024-08,free,0.0,22523,0.0,0.0,0.0,0.0,
2024-08,premium,3747987.0,6305,594.45,594.45,3257436.0,490551.0,15.06
2024-08,standard,3947000.0,12376,318.92,318.92,3388081.6,558918.4,16.5
2024-09,free,0.0,25741,0.0,0.0,0.0,0.0,
2024-09,premium,4274673.0,7243,590.18,590.18,3747987.0,526686.0,14.05
2024-09,standard,4466779.2,14193,314.72,314.72,3947000.0,519779.2,13.17
2024-10,free,0.0,28986,0.0,0.0,0.0,0.0,
2024-10,premium,4812918.0,8176,588.66,588.66,4274673.0,538245.0,12.59
2024-10,standard,5070988.8,16006,316.82,316.82,4466779.2,604209.6,13.53
2024-11,free,0.0,32120,0.0,0.0,0.0,0.0,
2024-11,premium,5370606.0,9060,592.78,592.78,4812918.0,557688.0,11.59
2024-11,standard,5605536.0,17800,314.92,314.92,5070988.8,534547.2,10.54
2024-12,free,0.0,35330,0.0,0.0,0.0,0.0,
2024-12,premium,5972895.0,9995,597.59,597.59,5370606.0,602289.0,11.21
2024-12,standard,6194353.6,19559,316.7,316.7,5605536.0,588817.6,10.5
2025-01,free,0.0,38548,0.0,0.0,0.0,0.0,
2025-01,premium,6620751.0,10906,607.07,607.07,5972895.0,647856.0,10.85
2025-01,standard,6809657.6,21460,317.32,317.32,6194353.6,615304.0,9.93
2025-02,free,0.0,41503,0.0,0.0,0.0,0.0,
2025-02,premium,7163127.0,11804,606.84,606.84,6620751.0,542376.0,8.19
2025-02,standard,7339748.8,23131,317.31,317.31,6809657.6,530091.2,7.78
2025-03,free,0.0,44798,0.0,0.0,0.0,0.0,
2025-03,premium,7733790.0,12728,607.62,607.62,7163127.0,570663.0,7.97
2025-03,standard,7853387.2,24955,314.7,314.7,7339748.8,513638.4,7.0
2025-04,free,0.0,47912,0.0,0.0,0.0,0.0,
2025-04,premium,8252364.0,13596,606.97,606.97,7733790.0,518574.0,6.71
2025-04,standard,8339043.2,26696,312.37,312.37,7853387.2,485656.0,6.18
2025-05,free,0.0,51090,0.0,0.0,0.0,0.0,
2025-05,premium,8851014.0,14575,607.27,607.27,8252364.0,598650.0,7.25
2025-05,standard,8859745.6,28468,311.22,311.22,8339043.2,520702.4,6.24
2025-06,free,0.0,54214,0.0,0.0,0.0,0.0,
2025-06,premium,9464847.0,15508,610.32,610.32,8851014.0,613833.0,6.94
2025-06,standard,9426366.4,30278,311.33,311.33,8859745.6,566620.8,6.4
2025-07,free,0.0,54158,0.0,0.0,0.0,0.0,
2025-07,premium,9549408.0,15543,614.39,614.39,9464847.0,84561.0,0.89
2025-07,standard,9434816.0,30299,311.39,311.39,9426366.4,8449.6,0.09
