acquisition_channel,industry,cohort_size,avg_lifetime_mrr,total_portfolio_mrr,avg_months_active,churn_rate_pct,expansion_rate_pct,downgrade_rate_pct,risk_adj_ltv,ltv_rank
seo,manufacturing,3552,2158.22,7666005.0,10.1,22.8,68.5,1.9,1665.45,1
ads,education,2515,2148.76,5404133.0,10.0,22.6,70.7,1.7,1663.47,2
seo,media,3513,2090.34,7343371.0,10.0,23.5,67.4,2.1,1599.44,3
outbound,transport,1455,2121.99,3087501.0,10.1,25.1,67.0,1.9,1589.67,4
partner,software,2554,2020.61,5160639.0,10.0,21.6,71.0,2.2,1584.68,5
seo,finance,3540,2019.17,7147852.0,10.0,22.1,68.4,2.2,1573.13,6
seo,transport,3505,1995.1,6992833.0,10.0,21.3,69.7,1.5,1571.04,7
partner,manufacturing,2478,1992.06,4936320.0,10.2,21.9,69.3,2.1,1556.35,8
seo,energy,3456,1998.72,6907583.0,10.0,22.2,69.8,2.0,1555.14,9
outbound,finance,1476,2006.18,2961128.0,10.1,23.1,70.1,1.7,1542.7,10
seo,software,3449,1949.98,6725487.0,10.1,22.4,69.7,2.1,1513.51,11
ads,manufacturing,2536,2002.35,5077950.0,10.2,24.4,70.4,2.5,1512.81,12
ads,telecom,2518,1953.33,4918487.0,9.9,22.8,67.6,2.1,1508.05,13
partner,energy,2422,1835.85,4446441.0,10.0,20.9,69.7,2.4,1452.31,14
seo,telecom,3425,1855.11,6353741.0,9.9,22.0,68.8,2.5,1446.71,15
outbound,healthcare,1496,1867.13,2793222.0,9.8,23.1,68.6,1.9,1436.54,16
outbound,telecom,1403,1923.08,2698085.0,9.8,25.3,69.1,2.0,1436.49,17
ads,finance,2511,1865.7,4684780.0,9.9,23.2,68.7,2.5,1432.53,18
partner,media,2448,1857.41,4546948.0,9.9,23.3,68.8,1.8,1424.93,19
outbound,retail,1499,1805.06,2705787.0,10.1,22.0,70.1,1.8,1407.68,20
